reviewId,text
ChZDSUhNMG9nS0VJQ0FnSUNEcGN1Z09BEAE,"Never a bad meal and consistently good service. I recommend the Mac and Shews and Molo Nachos. My only gripe is that they no longer serve Il Cuore, but it's certainly not a deal breaker! A bit pricey, so eating at MoLo is an occasional treat, but it's worth every penny."
ChdDSUhNMG9nS0VJQ0FnSUNENTVUczd3RRAB,"In my experience, vegan restaurants are a hit or miss. Not Modern Love. After recently going vegan and feeling utter despair at the lack of available plant based options around, Modern Love has become my saving grace. Not only is everything on the menu vegan, they have gluten free options as well. Plus everything there is delicious, with their Ruben being my new favorite. Some people might scoff at the price, but you really can’t find food like theirs anywhere else. Plus it’s super cute inside!!"
ChZDSUhNMG9nS0VJQ0FnSUNEcGFpNkpBEAE,Sadly disappointed. Was up to try some vegan food but it did not deliver. The biggest thing was that these were recreations of non vegan dishes to be vegan. Almost everything had an aftertaste that just left me feeling disgusted about myself. I wish there were more options that were not re-creations. The atmosphere was pretty cool loved the purple vibes
ChZDSUhNMG9nS0VJQ0FnSUNEb1lUdGZBEAE,Lives up to the hype! Best fettuccine alfredo I've ever had. I do wish they had NA cocktails and wine.
ChdDSUhNMG9nS0VJQ0FnSUNEcHRpcGtRRRAB,"I went here with a friend and loved the vibe. Service was fairly quick, and the waiter was nice. We ordered poutine as an appetizer, and it was delicious! I tried their Mac ‘n Shews, which was good, but a little much if you ate the whole bowl. My friend ordered the Goddess Bowl, but it was just OK. Pesto could’ve been better, but the Brussel sprouts were nice. Overall, the food was pretty good. Left full and satisfied!"
ChdDSUhNMG9nS0VJQ0FnSUNEbUkyWDF3RRAB,"The food was mediocre. Everything we had outside the seitan wings was underseasoned, especially noticeable on the fries. Trim the stems out of your Brussel sprouts. The cheesecake was pretty good.

Service was okay, our server disappeared for 7 or 8 minutes after our food was delivered and our water glasses sat empty during that window.

Atmosphere wasn't great, the place feels like a business major's idea of a restaurant."
ChdDSUhNMG9nS0VJQ0FnSUNENk9Yb3Z3RRAB,This was my first time here. I ordered the seitan wings and the Reuben Sandwich were fantastic. The food was quick and service was attentive and fast. Great place to eat I can't wait to try other menu options.
ChdDSUhNMG9nS0VJQ0FnSUNEeU5fd29BRRAB,"Our visit was so disappointing. The bathrooms were dirty. The water cups we were given were also dirty and had lipstick on them. The food lacked flavor as well and it was really expensive.

Overall a bad representation of vegan food. Just a bad experience overall."
ChZDSUhNMG9nS0VJQ0FnSUQ5MWZ6aFBREAE,
ChdDSUhNMG9nS0VJQ0FnSUQ5eHBDSHd3RRAB,Fried oyster mushroom with gravy . Vegan cheese balls vegan cheesecake
ChdDSUhNMG9nS0VJQ0FnSUQ5aXQtQm1BRRAB,
ChdDSUhNMG9nS0VJQ0FnSUM5bnJEVXRnRRAB,"Our favorite place, excellent service."
ChdDSUhNMG9nS0VJQ0FnSUM5aHZuUnFBRRAB,"Delicious food,  amazing mimosa and top notch servicer Tang."
ChZDSUhNMG9nS0VJQ0FnSUM5dXNqSWZ3EAE,
